y,category_id,name
0,0,empty
1,2,tayassu pecari
2,3,dasyprocta punctata
3,4,cuniculus paca
4,6,puma concolor
5,7,tapirus terrestris
6,8,pecari tajacu
7,9,mazama americana
8,10,leopardus pardalis
9,12,geotrygon montana
10,13,nasua nasua
11,14,dasypus novemcinctus
12,15,eira barbara
13,16,didelphis marsupialis
14,20,procyon cancrivorus
15,24,panthera onca
16,25,myrmecophaga tridactyla
17,26,tinamus major
18,32,sylvilagus brasiliensis
19,44,puma yagouaroundi
20,50,leopardus wiedii
21,62,mazama gouazoubira
22,67,philander opossum
23,70,capra aegagrus
24,71,bos taurus
25,72,ovis aries
26,73,canis lupus
27,74,lepus saxatilis
28,78,papio anubis
29,80,genetta genetta
30,83,tragelaphus scriptus
31,89,herpestes sanguineus
32,90,loxodonta africana
33,91,cricetomys gambianus
34,92,raphicerus campestris
35,94,hyaena hyaena
36,96,aepyceros melampus
37,97,crocuta crocuta
38,98,caracal caracal
39,99,equus ferus
40,100,panthera leo
41,101,tragelaphus oryx
42,102,kobus ellipsiprymnus
43,103,phacochoerus africanus
44,104,panthera pardus
45,106,ichneumia albicauda
46,108,canis mesomelas
47,110,syncerus caffer
48,111,equus quagga
49,112,giraffa camelopardalis
50,113,alcelaphus buselaphus
51,114,chlorocebus pygerythrus
52,115,madoqua guentheri
53,116,potamochoerus larvatus
54,118,nanger granti
55,119,eudorcas thomsonii
56,120,struthio camelus
57,121,orycteropus afer
58,122,acinonyx jubatus
59,123,eupodotis senegalensis
60,124,felis silvestris
61,127,oryx beisa
62,129,lophotis gindiana
63,130,ardeotis kori
64,134,lissotis melanogaster
65,139,argusianus argus
66,141,prionailurus bengalensis
67,142,hemigalus derbyanus
68,144,muntiacus muntjak
69,145,sus scrofa
70,147,helarctos malayanus
71,150,rusa unicolor
72,152,hystrix brachyura
73,153,pardofelis temminckii
74,154,panthera tigris
75,156,lariscus insignis
76,159,chalcophaps indica
77,161,genetta tigrina
78,162,hystrix cristata
79,163,lycaon pictus
80,166,procavia capensis
81,175,canis familiaris
82,177,unknown bird
83,198,unknown bat
84,221,momotus momota
85,230,dasyprocta fuliginosa
86,235,geotrygon sp
87,240,nasua narica
88,242,tamandua mexicana
89,243,didelphis sp
90,245,penelope purpurascens
91,251,phaetornis sp
92,253,brotogeris sp
93,256,camelus dromedarius
94,257,otocyon megalotis
95,258,acryllium vulturinum
96,259,equus grevyi
97,262,proteles cristata
98,265,leptailurus serval
99,267,tragelaphus strepsiceros
100,268,hippopotamus amphibius
101,273,burhinus capensis
102,291,paguma larvata
103,292,pardofelis marmorata
104,294,cuon alpinus
105,296,varanus salvator
106,299,martes flavigula
107,300,prionodon linsang
108,301,rollulus rouloul
109,302,lophura inornata
110,306,polyplectron chalcurum
111,307,manis javanica
112,309,capricornis sumatraensis
113,310,macaca sp
114,315,francolinus nobilis
115,316,cercopithecus lhoesti
116,317,cephalophus nigrifrons
117,318,atherurus africanus
118,319,pan troglodytes
119,320,cercopithecus mitis
120,321,funisciurus carruthersi
121,322,motacilla flava
122,323,andropadus latirostris
123,324,andropadus virens
124,325,thamnomys venustus
125,326,protoxerus stangeri
126,327,paraxerus boehmi
127,328,cephalophus silvicultor
128,330,oenomys hypoxanthus
129,333,melocichla mentalis
130,334,hybomys univittatus
131,335,colomys goslingi
132,336,hylomyscus stella
133,337,genetta servalina
134,338,canis adustus
135,340,mus minutoides
136,342,musophaga rossae
137,344,turtur tympanistria
138,345,praomys tullbergi
139,346,malacomys longipes
140,350,alopochen aegyptiaca
141,352,deomys ferrugineus
142,353,francolinus africanus
143,356,turdus olivaceus
144,370,mazama sp
145,371,urocyon cinereoargenteus
146,372,meleagris ocellata
147,374,crax rubra
148,375,agouti paca
149,376,tapirus bairdii
150,377,procyon lotor
151,378,odocoileus virginianus
152,379,leptotila plumbeiceps
153,380,mazama temama
154,382,conepatus semistriatus
155,384,mazama pandora
156,385,ortalis vetula
157,389,presbytis thomasi
158,390,neofelis diardi
159,391,arctonyx hoevenii
160,402,tragulus sp
161,405,dendrocitta occipitalis
162,406,niltava sumatrana
163,408,leiothrix argentauris
164,410,arborophila rubrirostris
165,413,lophura sp
166,414,myiophoneus glaucinus
167,415,lophura erythrophthalma
168,416,spilornis cheela
169,417,myiophoneus caeruleus
170,418,herpestes semitorquatus
171,422,cerdocyon thous
172,558,motorcycle
173,559,peromyscus sp
174,562,puma yagoroundi
175,563,tigrisoma mexicanum
176,565,claravis pretiosa
177,566,sciurus sp
178,567,ave desconocida
179,568,aramides cajanea
180,569,unknown dove
181,571,mazama  temama
99999,409,myiophoneus melanurus
99999,77,turtur calcospilos
99999,86,equus africanus
99999,133,helogale parvula
99999,167,streptopilia senegalensis
99999,170,ictonyx striatus
99999,564,canis latrans
99999,227,psophia crepitans
99999,229,nothocrax urumutum
99999,233,myoprocta pratti
99999,234,proechimys sp
99999,250,aguila sp
99999,420,callosciurus notatus
99999,419,collocalia linchi
99999,570,aramus guarauna
99999,286,xerus rutilus
99999,339,dioptrornis fischeri
99999,349,eurocephalus rueppelli
99999,354,nandinia binotata
99999,355,mesopicos griseocephalus
99999,412,erithacus cyane
99999,357,streptopelia lugens
99999,407,mustela lutreolina
99999,252,paleosuchus sp
