,precision,recall,f1-score,support
0,0.9196381053751995,0.927536231884058,0.923570283270978,5589.0
1,0.0,0.0,0.0,1.0
2,0.616580310880829,0.5496535796766744,0.5811965811965812,433.0
3,0.5,0.02702702702702703,0.05128205128205129,37.0
4,0.6774193548387096,0.574468085106383,0.6217105263157894,329.0
5,0.0,0.0,0.0,5.0
6,0.2,0.125,0.15384615384615385,24.0
7,0.0,0.0,0.0,6.0
8,0.54421768707483,0.6896551724137931,0.6083650190114068,464.0
9,0.0,0.0,0.0,15.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,7.0
13,0.0,0.0,0.0,1.0
15,0.8093994778067886,0.6288032454361054,0.7077625570776255,493.0
16,0.0,0.0,0.0,1.0
17,0.03225806451612903,0.09615384615384616,0.04830917874396135,52.0
20,1.0,0.07547169811320754,0.14035087719298245,53.0
21,0.0,0.0,0.0,4.0
23,0.0,0.0,0.0,52.0
24,0.8165760869565217,0.7365196078431373,0.7744845360824743,816.0
25,0.0,0.0,0.0,25.0
26,0.0,0.0,0.0,8.0
27,0.6666666666666666,0.15384615384615385,0.25,13.0
28,0.8235294117647058,0.5185185185185185,0.6363636363636364,27.0
32,0.9223300970873787,0.6968215158924206,0.7938718662952646,818.0
33,0.8333333333333334,0.6716417910447762,0.7438016528925621,67.0
35,0.0,0.0,0.0,2.0
36,0.9070866141732283,0.2714420358152686,0.4178454842219805,2122.0
37,0.6470588235294118,0.14666666666666667,0.23913043478260873,75.0
38,0.0,0.0,0.0,2.0
39,0.16666666666666666,0.02127659574468085,0.03773584905660377,94.0
40,0.0,0.0,0.0,18.0
41,0.0,0.0,0.0,17.0
42,0.125,0.08333333333333333,0.1,12.0
43,0.14388489208633093,0.16260162601626016,0.15267175572519084,123.0
44,0.0,0.0,0.0,11.0
46,0.0,0.0,0.0,5.0
47,0.4198473282442748,0.6790123456790124,0.5188679245283019,81.0
48,0.8507462686567164,0.6705882352941176,0.7500000000000001,85.0
49,0.7450980392156863,0.9047619047619048,0.8172043010752689,42.0
52,0.6342182890855457,0.6677018633540373,0.6505295007564296,322.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,26.0
65,0.8857142857142857,0.8857142857142857,0.8857142857142857,35.0
67,0.0,0.0,0.0,6.0
68,0.5263157894736842,0.7692307692307693,0.625,13.0
69,0.25,0.14285714285714285,0.18181818181818182,7.0
70,0.14285714285714285,0.5,0.22222222222222224,2.0
72,0.95,0.8260869565217391,0.8837209302325583,23.0
73,0.0,0.0,0.0,0.0
74,0.3333333333333333,1.0,0.5,3.0
77,0.0,0.0,0.0,1.0
79,0.0,0.0,0.0,31.0
83,0.0,0.0,0.0,3.0
85,0.0,0.0,0.0,2.0
87,0.6379310344827587,0.24666666666666667,0.3557692307692307,150.0
88,0.0,0.0,0.0,5.0
89,0.2847682119205298,0.5058823529411764,0.3644067796610169,85.0
90,0.0,0.0,0.0,29.0
93,0.012866333095067906,0.8181818181818182,0.025334271639690358,22.0
95,0.6774193548387096,0.6,0.6363636363636364,105.0
96,0.8269230769230769,0.6615384615384615,0.7350427350427349,65.0
97,0.0,0.0,0.0,2.0
98,0.0,0.0,0.0,2.0
100,0.0,0.0,0.0,1.0
102,0.0,0.0,0.0,1.0
106,0.0,0.0,0.0,1.0
107,0.0,0.0,0.0,2.0
108,0.0,0.0,0.0,4.0
112,0.8333333333333334,0.5,0.625,10.0
113,1.0,0.6511627906976745,0.7887323943661972,43.0
114,0.1848341232227488,0.5492957746478874,0.276595744680851,71.0
115,0.41379310344827586,0.7058823529411765,0.5217391304347826,34.0
116,0.87,0.903114186851211,0.8862478777589133,578.0
117,0.5,0.125,0.2,8.0
118,1.0,0.7333333333333333,0.846153846153846,15.0
119,0.0,0.0,0.0,12.0
120,0.0,0.0,0.0,21.0
126,0.0,0.0,0.0,27.0
127,0.0,0.0,0.0,3.0
133,0.0,0.0,0.0,2.0
135,0.0,0.0,0.0,5.0
144,0.0,0.0,0.0,1.0
145,0.4250559284116331,0.46116504854368934,0.44237485448195574,412.0
146,0.849532037437005,0.8087731322823852,0.8286516853932585,1459.0
147,0.721596724667349,0.834319526627219,0.7738748627881448,845.0
148,0.6857142857142857,0.5274725274725275,0.5962732919254659,91.0
149,0.6866666666666666,0.824,0.749090909090909,250.0
150,0.0,0.0,0.0,4.0
151,0.0,0.0,0.0,21.0
152,0.2857142857142857,0.5,0.36363636363636365,24.0
153,0.37142857142857144,0.6265060240963856,0.4663677130044843,83.0
155,0.0,0.0,0.0,25.0
156,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,1.0
166,0.0,0.0,0.0,0.0
171,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
172,0.0392156862745098,0.14285714285714285,0.061538461538461535,56.0
173,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
176,0.0,0.0,0.0,2.0
177,0.0,0.0,0.0,25.0
178,0.0,0.0,0.0,0.0
accuracy,0.6874853937835943,0.6874853937835943,0.6874853937835943,0.6874853937835943
macro avg,0.27679271898650354,0.25804007657419753,0.24161993702817955,17116.0
weighted avg,0.7844290099244562,0.6874853937835943,0.7070473721624859,17116.0
