,precision,recall,f1-score,support
0,0.9460775473399459,0.9386294507067454,0.9423387821088557,5589.0
1,0.0,0.0,0.0,1.0
2,0.7080103359173127,0.6327944572748267,0.6682926829268293,433.0
3,0.0,0.0,0.0,37.0
4,0.453027139874739,0.6595744680851063,0.5371287128712872,329.0
5,0.0,0.0,0.0,5.0
6,0.2857142857142857,0.5833333333333334,0.3835616438356164,24.0
7,0.0,0.0,0.0,6.0
8,0.5711920529801324,0.7435344827586207,0.646067415730337,464.0
9,0.0,0.0,0.0,15.0
11,0.0,0.0,0.0,1.0
12,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
13,0.0,0.0,0.0,1.0
15,0.7823834196891192,0.6125760649087221,0.6871444823663253,493.0
16,0.0,0.0,0.0,1.0
17,0.6428571428571429,0.17307692307692307,0.27272727272727276,52.0
18,0.0,0.0,0.0,0.0
20,0.6,0.16981132075471697,0.2647058823529412,53.0
21,0.0,0.0,0.0,4.0
23,0.5555555555555556,0.09615384615384616,0.1639344262295082,52.0
24,0.8029490616621984,0.7340686274509803,0.7669654289372599,816.0
25,0.0,0.0,0.0,25.0
26,0.0,0.0,0.0,8.0
27,0.5,0.38461538461538464,0.4347826086956522,13.0
28,0.7647058823529411,0.48148148148148145,0.5909090909090909,27.0
32,0.9490566037735849,0.6149144254278729,0.7462908011869438,818.0
33,0.8082191780821918,0.8805970149253731,0.8428571428571429,67.0
35,0.0,0.0,0.0,2.0
36,0.8728943338437979,0.8058435438265787,0.8380298946336683,2122.0
37,0.7419354838709677,0.30666666666666664,0.43396226415094336,75.0
38,0.0,0.0,0.0,2.0
39,0.16666666666666666,0.010638297872340425,0.02,94.0
40,0.0,0.0,0.0,18.0
41,0.0,0.0,0.0,17.0
42,0.09090909090909091,0.08333333333333333,0.08695652173913043,12.0
43,0.20388349514563106,0.17073170731707318,0.18584070796460178,123.0
44,0.3333333333333333,0.09090909090909091,0.14285714285714288,11.0
46,0.0,0.0,0.0,5.0
47,0.5858585858585859,0.7160493827160493,0.6444444444444445,81.0
48,0.3939393939393939,0.7647058823529411,0.5199999999999999,85.0
49,0.5277777777777778,0.9047619047619048,0.6666666666666666,42.0
52,0.6508728179551122,0.8105590062111802,0.7219917012448134,322.0
54,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,1.0
61,0.0,0.0,0.0,26.0
62,0.0,0.0,0.0,0.0
65,0.7209302325581395,0.8857142857142857,0.7948717948717948,35.0
67,1.0,0.5,0.6666666666666666,6.0
68,0.5,0.7692307692307693,0.6060606060606061,13.0
69,0.0,0.0,0.0,7.0
70,0.0,0.0,0.0,2.0
72,0.8076923076923077,0.9130434782608695,0.8571428571428572,23.0
73,0.0,0.0,0.0,0.0
74,0.75,1.0,0.8571428571428571,3.0
77,0.0,0.0,0.0,1.0
79,0.0,0.0,0.0,31.0
83,0.0,0.0,0.0,3.0
85,0.0,0.0,0.0,2.0
87,0.5853658536585366,0.48,0.5274725274725274,150.0
88,0.0,0.0,0.0,5.0
89,0.26900584795321636,0.5411764705882353,0.35937499999999994,85.0
90,0.0,0.0,0.0,29.0
93,0.04899135446685879,0.7727272727272727,0.09214092140921408,22.0
95,0.8690476190476191,0.6952380952380952,0.7724867724867724,105.0
96,0.7741935483870968,0.7384615384615385,0.7559055118110236,65.0
97,0.0,0.0,0.0,2.0
98,0.0,0.0,0.0,2.0
100,0.0,0.0,0.0,1.0
102,0.0,0.0,0.0,1.0
106,0.25,1.0,0.4,1.0
107,0.0,0.0,0.0,2.0
108,0.0,0.0,0.0,4.0
112,0.5,0.7,0.5833333333333334,10.0
113,0.9090909090909091,0.6976744186046512,0.7894736842105263,43.0
114,0.8653846153846154,0.6338028169014085,0.7317073170731707,71.0
115,0.3793103448275862,0.6470588235294118,0.4782608695652174,34.0
116,0.7536443148688047,0.8944636678200693,0.8180379746835443,578.0
117,1.0,0.75,0.8571428571428571,8.0
118,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
119,0.0,0.0,0.0,12.0
120,0.06666666666666667,0.047619047619047616,0.05555555555555555,21.0
126,0.0,0.0,0.0,27.0
127,0.0,0.0,0.0,3.0
133,0.0,0.0,0.0,2.0
135,0.0,0.0,0.0,5.0
140,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,1.0
145,0.5867768595041323,0.3446601941747573,0.43425076452599387,412.0
146,0.7793840351979887,0.8498971898560658,0.8131147540983606,1459.0
147,0.8532818532818532,0.7846153846153846,0.8175092478421702,845.0
148,0.5089285714285714,0.6263736263736264,0.5615763546798029,91.0
149,0.5667574931880109,0.832,0.674230145867099,250.0
150,0.0,0.0,0.0,4.0
151,0.08823529411764706,0.14285714285714285,0.10909090909090909,21.0
152,0.41935483870967744,0.5416666666666666,0.4727272727272728,24.0
153,0.46835443037974683,0.4457831325301205,0.45679012345679004,83.0
155,1.0,0.2,0.33333333333333337,25.0
156,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,1.0
171,0.0,0.0,0.0,3.0
172,0.1,0.16071428571428573,0.12328767123287672,56.0
173,0.0,0.0,0.0,6.0
174,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,2.0
177,0.8181818181818182,0.36,0.5,25.0
178,0.0,0.0,0.0,0.0
accuracy,0.7671769104931059,0.7671769104931059,0.7671769104931059,0.7671769104931059
macro avg,0.30448002681298264,0.2956904341835133,0.27871868337694944,17116.0
weighted avg,0.7919050003521921,0.7671769104931059,0.7705480250304493,17116.0
